round_epochs,loss,MSE,val_loss,val_MSE,batch_size,dropout,epochs,layer1_size,layer2_size,optimizer
300,0.21628110110759735,0.08820325136184692,0.1368764489889145,0.04585537314414978,32,0.15,300,32,64,AdaDelta
300,0.023622756823897362,0.0013765065232291818,0.011220271699130535,0.00021744480181951076,32,0.15,300,32,64,adam
300,0.21512368321418762,0.08833621442317963,0.13534924387931824,0.04580732807517052,32,0.15,300,32,128,AdaDelta
300,0.021070528775453568,0.001146793132647872,0.009967765770852566,0.0001900688512250781,32,0.15,300,32,128,adam
300,0.20837831497192383,0.08319980651140213,0.13136182725429535,0.042982783168554306,32,0.15,300,64,16,AdaDelta
300,0.01733037270605564,0.0007193861529231071,0.009954690933227539,0.0001681614958215505,32,0.15,300,64,16,adam
300,0.22472992539405823,0.09336669743061066,0.143623948097229,0.04882383346557617,32,0.15,300,64,32,AdaDelta
300,0.017500124871730804,0.0007682169671170413,0.008767441846430302,0.0001641021663090214,32,0.15,300,64,32,adam
300,0.21331056952476501,0.08615268021821976,0.13491128385066986,0.044805724173784256,32,0.15,300,64,64,AdaDelta
300,0.017368903383612633,0.0006960227619856596,0.008766744285821915,0.00015210898709483445,32,0.15,300,64,64,adam
300,0.21062497794628143,0.08475495874881744,0.1326272338628769,0.04390209913253784,32,0.15,300,64,128,AdaDelta
300,0.01769063249230385,0.0006643242086283863,0.008270486257970333,0.00014330630074255168,32,0.15,300,64,128,adam
300,0.2155260592699051,0.08815183490514755,0.1357165277004242,0.04558951035141945,32,0.15,300,128,16,AdaDelta
300,0.016970593482255936,0.0007901927456259727,0.00950556993484497,0.0001561941026011482,32,0.15,300,128,16,adam
300,0.21489553153514862,0.08640245348215103,0.13639698922634125,0.04513021185994148,32,0.15,300,128,32,AdaDelta
300,0.01683230884373188,0.0008048550225794315,0.008918062783777714,0.00014450238086283207,32,0.15,300,128,32,adam
300,0.21205022931098938,0.08521635830402374,0.13413694500923157,0.04436906427145004,32,0.15,300,128,64,AdaDelta
300,0.016723427921533585,0.0007278848788700998,0.008748448453843594,0.0001360512396786362,32,0.15,300,128,64,adam
300,0.2107662707567215,0.08566000312566757,0.1321791410446167,0.04431848227977753,32,0.15,300,128,128,AdaDelta
300,0.016849977895617485,0.0007787913782522082,0.008307395502924919,0.00013954361202195287,32,0.15,300,128,128,adam
300,0.21148669719696045,0.08428946137428284,0.1338038146495819,0.04381214827299118,32,0.15,300,256,16,AdaDelta
300,0.016320377588272095,0.0006795205408707261,0.01039380207657814,0.00018776349315885454,32,0.15,300,256,16,adam
300,0.21049590408802032,0.08341072499752045,0.13330745697021484,0.04340691119432449,32,0.15,300,256,32,AdaDelta
300,0.013814245350658894,0.0005038576200604439,0.008375600911676884,0.0001379934255965054,32,0.15,300,256,32,adam
300,0.21087431907653809,0.08528316766023636,0.1326231211423874,0.04414138197898865,32,0.15,300,256,64,AdaDelta
300,0.015863537788391113,0.000701571989338845,0.011110208928585052,0.00021230365382507443,32,0.15,300,256,64,adam
300,0.20811159908771515,0.08350111544132233,0.13073141872882843,0.04311645030975342,32,0.15,300,256,128,AdaDelta
300,0.015095815062522888,0.0006385595770552754,0.00962138269096613,0.00015458001871593297,32,0.15,300,256,128,adam
200,0.218936488032341,0.08784310519695282,0.14073766767978668,0.04583238810300827,64,0,200,32,16,AdaDelta
200,0.015841688960790634,0.0006798297399654984,0.009164761751890182,0.00018000708951149136,64,0,200,32,16,adam
200,0.23176392912864685,0.09767676889896393,0.1496494561433792,0.05127313733100891,64,0,200,32,32,AdaDelta
200,0.018626892939209938,0.0008962376741692424,0.014323563314974308,0.00044512239401228726,64,0,200,32,32,adam
200,0.22355177998542786,0.09156449884176254,0.1434486210346222,0.0479348786175251,64,0,200,32,64,AdaDelta
200,0.014607971534132957,0.0005784675595350564,0.009454483166337013,0.0002248739474453032,64,0,200,32,64,adam
200,0.2200266569852829,0.0907757431268692,0.13911059498786926,0.047266885638237,64,0,200,32,128,AdaDelta
200,0.013181159272789955,0.0004661184211727232,0.011477647349238396,0.00029248622013255954,64,0,200,32,128,adam
200,0.23010404407978058,0.09419244527816772,0.15099094808101654,0.049879882484674454,64,0,200,64,16,AdaDelta
200,0.013907095417380333,0.0005189028452150524,0.009870164096355438,0.0002037672238657251,64,0,200,64,16,adam
200,0.22498676180839539,0.09263306856155396,0.1443558931350708,0.048500075936317444,64,0,200,64,32,AdaDelta
200,0.016153017058968544,0.0006083828629925847,0.009616033174097538,0.00017447932623326778,64,0,200,64,32,adam
200,0.2221117913722992,0.09043949842453003,0.14273199439048767,0.047311931848526,64,0,200,64,64,AdaDelta
200,0.014407144859433174,0.0005528387846425176,0.00864266324788332,0.00014299062604550272,64,0,200,64,64,adam
200,0.22496815025806427,0.09276901185512543,0.14422796666622162,0.04860348999500275,64,0,200,64,128,AdaDelta
200,0.01514578890055418,0.0005694428691640496,0.010987057350575924,0.00022320741845760494,64,0,200,64,128,adam
200,0.22159025073051453,0.08896397054195404,0.1432766169309616,0.0467059388756752,64,0,200,128,16,AdaDelta
200,0.01485511939972639,0.0006619353080168366,0.009210235439240932,0.00021219634800218046,64,0,200,128,16,adam
200,0.23286482691764832,0.09765690565109253,0.15086647868156433,0.051284320652484894,64,0,200,128,32,AdaDelta
200,0.013087647967040539,0.00047644792357459664,0.008230172097682953,0.0001389735989505425,64,0,200,128,32,adam
200,0.2241126298904419,0.0919446349143982,0.1439419686794281,0.04809924587607384,64,0,200,128,64,AdaDelta
200,0.013854758813977242,0.0004878156469203532,0.008490792475640774,0.00013690718333236873,64,0,200,128,64,adam
200,0.22416433691978455,0.09235753864049911,0.14367879927158356,0.04826987162232399,64,0,200,128,128,AdaDelta
200,0.013766685500741005,0.0004887041868641973,0.009145685471594334,0.00017770336125977337,64,0,200,128,128,adam
200,0.2233089953660965,0.0906289741396904,0.1440185308456421,0.047502558678388596,64,0,200,256,16,AdaDelta
200,0.012947681359946728,0.0004988003638572991,0.010529433377087116,0.0002423575788270682,64,0,200,256,16,adam
200,0.22576387226581573,0.0929320678114891,0.14521417021751404,0.048701271414756775,64,0,200,256,32,AdaDelta
200,0.011929565109312534,0.0004166196449659765,0.010179742239415646,0.000204305601073429,64,0,200,256,32,adam
200,0.2232920229434967,0.09126659482717514,0.14341650903224945,0.047753166407346725,64,0,200,256,64,AdaDelta
200,0.012829872779548168,0.00047630397602915764,0.011116873472929,0.00022318768606055528,64,0,200,256,64,adam
200,0.22006943821907043,0.08981499820947647,0.14015896618366241,0.04681803658604622,64,0,200,256,128,AdaDelta
200,0.011782576330006123,0.0004168441519141197,0.009155218489468098,0.00017236286657862365,64,0,200,256,128,adam
300,0.21512949466705322,0.0860443115234375,0.1367000788450241,0.04480305314064026,64,0,300,32,16,AdaDelta
