round_epochs,loss,mae,val_loss,val_mae,batch_size,dropout,epochs,layer1_size,layer2_size,optimizer
100,0.09376825392246246,0.222911536693573,0.052546288818120956,0.15025940537452698,32,0.15,100,32,64,AdaDelta
35,0.003350868122652173,0.038026172667741776,0.0025514806620776653,0.03606167063117027,32,0.15,100,32,64,adam
100,0.09183651208877563,0.2197352647781372,0.05120369791984558,0.14744587242603302,32,0.15,100,32,128,AdaDelta
27,0.003286464139819145,0.03846625238656998,0.0025292295031249523,0.036289896816015244,32,0.15,100,32,128,adam
100,0.0955764427781105,0.2229383885860443,0.05322164297103882,0.14871594309806824,32,0.15,100,64,64,AdaDelta
41,0.0019028754904866219,0.030977413058280945,0.0019268435426056385,0.0303703211247921,32,0.15,100,64,64,adam
100,0.09477584809064865,0.22362713515758514,0.052930157631635666,0.1502479612827301,32,0.15,100,64,128,AdaDelta
38,0.002585371257737279,0.035644203424453735,0.0020707808434963226,0.033074408769607544,32,0.15,100,64,128,adam
100,0.0961296409368515,0.22529065608978271,0.05366513505578041,0.15126971900463104,32,0.15,100,128,64,AdaDelta
6,0.013527244329452515,0.10326490551233292,0.014786130748689175,0.1151079311966896,32,0.15,100,128,64,adam
100,0.09690336883068085,0.22770805656909943,0.05430467426776886,0.15410158038139343,32,0.15,100,128,128,AdaDelta
6,0.015612916089594364,0.11441441625356674,0.014105726964771748,0.1121591180562973,32,0.15,100,128,128,adam
100,0.09370380640029907,0.22395430505275726,0.05266505479812622,0.15193907916545868,32,0.15,100,256,64,AdaDelta
5,0.013605221174657345,0.10540734976530075,0.015391483902931213,0.11460847407579422,32,0.15,100,256,64,adam
100,0.09394928812980652,0.22265683114528656,0.052521344274282455,0.14977812767028809,32,0.15,100,256,128,AdaDelta
56,0.0010708917398005724,0.02325679175555706,0.0009299199446104467,0.020691832527518272,32,0.15,100,256,128,adam
150,0.09707636386156082,0.22596991062164307,0.05422981083393097,0.15170231461524963,32,0.15,150,32,64,AdaDelta
51,0.0026819633785635233,0.03737673908472061,0.002257131738588214,0.03386281803250313,32,0.15,150,32,64,adam
150,0.09371381998062134,0.22199125587940216,0.05227337032556534,0.14892058074474335,32,0.15,150,32,128,AdaDelta
7,0.0179960485547781,0.1166294738650322,0.01971854828298092,0.13441461324691772,32,0.15,150,32,128,adam
150,0.09540752321481705,0.22313609719276428,0.053122054785490036,0.14891910552978516,32,0.15,150,64,64,AdaDelta
8,0.015566603280603886,0.11081306636333466,0.014706085436046124,0.1162094697356224,32,0.15,150,64,64,adam
150,0.09042642265558243,0.21677212417125702,0.050363004207611084,0.1449267715215683,32,0.15,150,64,128,AdaDelta
58,0.001622773939743638,0.029320936650037766,0.0013476043241098523,0.025760944932699203,32,0.15,150,64,128,adam
150,0.09336787462234497,0.22072884440422058,0.05190851166844368,0.14745783805847168,32,0.15,150,128,64,AdaDelta
7,0.013665827922523022,0.10590686649084091,0.01390609797090292,0.11155097931623459,32,0.15,150,128,64,adam
150,0.09413646161556244,0.2216998189687729,0.052450887858867645,0.14826321601867676,32,0.15,150,128,128,AdaDelta
6,0.015113165602087975,0.1110868826508522,0.01428705733269453,0.11300622671842575,32,0.15,150,128,128,adam
150,0.09799021482467651,0.22810311615467072,0.05481920391321182,0.153740793466568,32,0.15,150,256,64,AdaDelta
